49.0000	226.0000
90.0000	211.0000
169.0000	108.0000
196.0000	83.0000
256.0000	83.0000
348.0000	114.0000
499.0000	149.0000
501.0000	199.0000
469.0000	210.0000
523.0000	212.0000
598.0000	180.0000
668.0000	234.0000
597.0000	300.0000
506.0000	281.0000
442.0000	282.0000
509.0000	297.0000
444.0000	340.0000
359.0000	350.0000
331.0000	331.0000
228.0000	342.0000
315.0000	360.0000
306.0000	411.0000
225.0000	412.0000
184.0000	342.0000
116.0000	298.0000
53.0000	246.0000
139.0000	290.0000
180.0000	315.0000
166.0000	273.0000
