57.0000	212.0000
121.0000	201.0000
221.0000	80.0000
254.0000	52.0000
316.0000	52.0000
385.0000	86.0000
483.0000	91.0000
521.0000	150.0000
493.0000	166.0000
537.0000	168.0000
600.0000	143.0000
639.0000	221.0000
589.0000	280.0000
529.0000	244.0000
483.0000	237.0000
523.0000	255.0000
468.0000	295.0000
393.0000	316.0000
350.0000	310.0000
257.0000	325.0000
314.0000	330.0000
341.0000	402.0000
257.0000	395.0000
206.0000	333.0000
123.0000	302.0000
58.0000	235.0000
159.0000	291.0000
229.0000	286.0000
219.0000	256.0000
