56.0000	212.0000
95.0000	179.0000
192.0000	95.0000
214.0000	57.0000
265.0000	40.0000
366.0000	79.0000
497.0000	119.0000
490.0000	165.0000
472.0000	178.0000
524.0000	179.0000
600.0000	146.0000
640.0000	209.0000
604.0000	279.0000
528.0000	255.0000
477.0000	268.0000
508.0000	280.0000
476.0000	326.0000
373.0000	347.0000
337.0000	332.0000
227.0000	337.0000
277.0000	367.0000
248.0000	422.0000
190.0000	398.0000
176.0000	348.0000
99.0000	288.0000
54.0000	229.0000
136.0000	284.0000
194.0000	292.0000
183.0000	248.0000
