48.0000	238.0000
115.0000	217.0000
219.0000	98.0000
248.0000	63.0000
313.0000	48.0000
398.0000	98.0000
540.0000	151.0000
545.0000	179.0000
510.0000	191.0000
557.0000	191.0000
643.0000	187.0000
662.0000	224.0000
615.0000	266.0000
553.0000	260.0000
496.0000	262.0000
531.0000	266.0000
502.0000	302.0000
425.0000	327.0000
353.0000	330.0000
238.0000	355.0000
315.0000	351.0000
322.0000	445.0000
235.0000	472.0000
186.0000	360.0000
114.0000	311.0000
47.0000	257.0000
158.0000	309.0000
216.0000	311.0000
205.0000	278.0000
